event_id,compound,n_laps,observed_slope,predicted_slope
2022_19_R,HARD,4,-0.014171428571423193,0.009325096383690834
2022_19_R,HARD,7,0.054991071428569405,0.009325096383690834
2022_19_R,HARD,15,0.07752673216427498,0.009325096383690834
2022_19_R,HARD,5,0.0559881569208004,0.009325096383690834
2022_19_R,HARD,4,0.06837684729064313,0.009325096383690834
2022_19_R,HARD,7,0.07894671658986102,0.009325096383690834
2022_19_R,HARD,5,0.04442551999003381,0.009325096383690834
2022_19_R,HARD,17,0.045255918978138715,0.009325096383690834
2022_19_R,HARD,14,0.1246269885349283,0.009325096383690834
2022_19_R,HARD,12,0.0030041181482520487,0.009325096383690834
2022_19_R,HARD,6,0.055702881152458306,0.009325096383690834
2022_19_R,HARD,5,0.03967275747507904,0.009325096383690834
2022_19_R,HARD,7,-0.048698240165629195,0.009325096383690834
2022_1_R,SOFT,6,0.2517962184873917,0.04580794274806976
2022_1_R,SOFT,5,0.3476285714285807,0.04580794274806976
2022_1_R,SOFT,5,0.22842857142857081,0.04580794274806976
2022_1_R,SOFT,15,0.1827084674424416,0.04580794274806976
2022_1_R,SOFT,15,0.22900287818767398,0.04580794274806976
2022_1_R,SOFT,4,0.28032857142857837,0.04580794274806976
2022_1_R,SOFT,13,0.18177472527472988,0.04580794274806976
2022_1_R,SOFT,11,0.16711948051947856,0.04580794274806976
2022_1_R,SOFT,6,0.2594142857142881,0.04580794274806976
2022_1_R,SOFT,7,0.21357142857142164,0.04580794274806976
2022_1_R,SOFT,18,0.20479131652661586,0.04580794274806976
2022_1_R,SOFT,10,0.15832059614073385,0.04580794274806976
2022_1_R,SOFT,5,0.1843285714285712,0.04580794274806976
2022_1_R,SOFT,7,0.20390807962528598,0.04580794274806976
2022_1_R,SOFT,11,0.1661662076398052,0.04580794274806976
2022_1_R,SOFT,8,0.16929761904761442,0.04580794274806976
2022_1_R,SOFT,10,0.18208614718614427,0.04580794274806976
2022_1_R,SOFT,12,0.18298801198801234,0.04580794274806976
2022_1_R,SOFT,14,0.12845800380418687,0.04580794274806976
2022_1_R,SOFT,5,0.29522857142856507,0.04580794274806976
2022_1_R,SOFT,8,0.14178571428571493,0.04580794274806976
2022_1_R,SOFT,9,0.08176307847082889,0.04580794274806976
2022_1_R,SOFT,7,0.1403571428571391,0.04580794274806976
2022_1_R,SOFT,9,0.22725948051948283,0.04580794274806976
2022_1_R,MEDIUM,15,0.11822458446768855,0.03922470286488533
2022_1_R,MEDIUM,7,0.09449999999999903,0.03922470286488533
2022_1_R,MEDIUM,6,0.17652857142857328,0.03922470286488533
2022_1_R,MEDIUM,7,0.027992352749756266,0.03922470286488533
2022_1_R,MEDIUM,6,0.317242857142859,0.03922470286488533
2022_1_R,MEDIUM,14,0.12867142857142747,0.03922470286488533
2022_1_R,MEDIUM,10,0.061067295951907824,0.03922470286488533
2022_1_R,MEDIUM,4,0.2755285714285752,0.03922470286488533
2022_1_R,MEDIUM,8,0.17567385444744052,0.03922470286488533
2022_1_R,MEDIUM,13,0.14545054945055103,0.03922470286488533
2022_1_R,MEDIUM,8,0.2535714285714261,0.03922470286488533
2022_1_R,MEDIUM,16,0.16704779994990257,0.03922470286488533
2022_1_R,MEDIUM,11,0.13383460157932361,0.03922470286488533
2022_1_R,MEDIUM,16,0.22866533613445333,0.03922470286488533
2022_1_R,MEDIUM,7,0.13732142857142846,0.03922470286488533
2022_1_R,MEDIUM,8,0.1608159588159558,0.03922470286488533
2022_1_R,MEDIUM,11,0.20245584415584159,0.03922470286488533
2022_1_R,MEDIUM,8,0.18344223263075643,0.03922470286488533
2022_1_R,MEDIUM,17,0.11548739495798695,0.03922470286488533
2022_1_R,MEDIUM,6,0.31755714285714404,0.03922470286488533
2022_1_R,HARD,11,0.1918856296714137,0.021510368213057518
2022_1_R,HARD,9,0.17891795822102685,0.021510368213057518
2022_1_R,HARD,12,0.1549670329670355,0.021510368213057518
2022_1_R,HARD,9,0.10728523809524203,0.021510368213057518
2022_1_R,HARD,8,0.13109523809523613,0.021510368213057518
2022_1_R,HARD,7,0.1134736533957855,0.021510368213057518
2022_1_R,HARD,16,0.16642857142856754,0.021510368213057518
2022_20_R,MEDIUM,19,0.043624872781431054,0.03461437672376633
2022_20_R,MEDIUM,36,0.033780437580437445,0.03461437672376633
2022_20_R,MEDIUM,16,0.04140021008403279,0.03461437672376633
